sid,session_code,mk_session,prolific_id,participant_code,round_nb,player,dyad,manipulation,condition,difficulty,confidence_1,confidence_2,indv_response,correct_response,indv_responded_correctly,rt_individual,indv_stim_order,group_choice,grp_responded_correctly,decision_count,group_rt,both_agree,mean_social_dominance,mean_aggresive_dominance,grp_correct
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,15,2,p2p4,submissive,Non-conflict,Hard,47.0,69,Left,Left,True,3083.5,34:30,Left,,1,2563.5,1,3.875,3.142857142857143,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,16,2,p1p2,submissive,Non-conflict,Easy,69.0,73,Left,Left,True,2384.4,27:20,Left,,1,2443.0,1,3.875,3.142857142857143,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,17,2,p1p2,submissive,Non-conflict,Hard,70.0,73,Right,Right,True,3604.0,20:23,Right,,1,11887.9,1,3.875,3.142857142857143,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,18,2,p2p4,dominant,Conflict,Easy,76.0,85,Left,Left,True,1640.2,27:20,Left,,1,9647.3,1,3.875,3.142857142857143,
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,19,2,p2p6,dominant,Conflict,Easy,57.0,45,Right,Right,True,2557.6,30:40,Left,,1,3020.8,1,3.875,3.142857142857143,
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,20,2,p2p5,dominant,Conflict,Easy,64.0,49,Left,Left,True,1298.8,40:30,Right,,1,9225.7,1,3.875,3.142857142857143,
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,21,2,p2p5,submissive,Conflict,Easy,76.0,62,Right,Right,True,1125.5,30:40,Right,,1,21858.0,1,3.875,3.142857142857143,
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,22,2,p1p2,submissive,Conflict,Easy,66.0,42,Left,Left,True,1115.5,40:30,Right,,1,2820.0,1,3.875,3.142857142857143,
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,23,2,p2p3,submissive,Non-conflict,Easy,80.0,78,Left,Left,True,1141.8,27:20,Left,,1,483.6,1,3.875,3.142857142857143,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,24,2,p2p3,dominant,Conflict,Easy,76.0,56,Left,Left,True,2430.6,40:30,Right,,2,2673.9,1,3.875,3.142857142857143,
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,25,2,p2p3,dominant,Non-conflict,Hard,73.0,86,Right,Right,True,1335.8,30:34,Right,,1,862.8,1,3.875,3.142857142857143,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,26,2,p2p4,dominant,Non-conflict,Hard,81.0,75,Left,Left,True,1446.3,34:30,Left,,1,2226.8,1,3.875,3.142857142857143,True
