sid,participant_code,round_nb,role,player,dyad,manipulation,trial_payoff,responded,sent_amount,offer_response,rt,prolific_id,mean_social_dominance,mean_aggresive_dominance
ultimatum_game,j89thiah,2,responder,5,p2p5,0,4.0,1,4.0,1.0,6812.7,6384f755b4cc19e1153f51bb,4.75,3.142857142857143
ultimatum_game,j89thiah,3,responder,5,p3p5,0,0.0,0,5.0,,18037.2,6384f755b4cc19e1153f51bb,4.75,3.142857142857143
ultimatum_game,j89thiah,4,responder,5,p1p5,1,5.0,1,5.0,1.0,4331.5,6384f755b4cc19e1153f51bb,4.75,3.142857142857143
ultimatum_game,j89thiah,5,responder,5,p4p5,0,0.0,0,2.0,,33109.8,6384f755b4cc19e1153f51bb,4.75,3.142857142857143
ultimatum_game,j89thiah,6,responder,5,p5p6,0,3.0,1,3.0,1.0,6803.8,6384f755b4cc19e1153f51bb,4.75,3.142857142857143
ultimatum_game,j89thiah,7,proposer,5,p2p5,0,0.0,1,3.0,0.0,11829.0,6384f755b4cc19e1153f51bb,4.75,3.142857142857143
ultimatum_game,j89thiah,8,proposer,5,p3p5,0,6.0,1,4.0,1.0,13256.0,6384f755b4cc19e1153f51bb,4.75,3.142857142857143
ultimatum_game,j89thiah,9,proposer,5,p1p5,1,5.0,1,5.0,1.0,6546.5,6384f755b4cc19e1153f51bb,4.75,3.142857142857143
ultimatum_game,j89thiah,10,proposer,5,p4p5,1,0.0,1,3.0,0.0,7581.5,6384f755b4cc19e1153f51bb,4.75,3.142857142857143
ultimatum_game,j89thiah,11,proposer,5,p5p6,0,5.0,1,5.0,1.0,6514.5,6384f755b4cc19e1153f51bb,4.75,3.142857142857143
ultimatum_game,j89thiah,12,responder,5,p2p5,1,0.0,1,3.0,0.0,13977.5,6384f755b4cc19e1153f51bb,4.75,3.142857142857143
ultimatum_game,j89thiah,13,responder,5,p3p5,1,5.0,1,5.0,1.0,3057.2,6384f755b4cc19e1153f51bb,4.75,3.142857142857143
ultimatum_game,j89thiah,14,responder,5,p1p5,0,5.0,1,5.0,1.0,8088.1,6384f755b4cc19e1153f51bb,4.75,3.142857142857143
ultimatum_game,j89thiah,15,responder,5,p4p5,0,0.0,1,4.0,0.0,10233.4,6384f755b4cc19e1153f51bb,4.75,3.142857142857143
ultimatum_game,j89thiah,16,responder,5,p5p6,1,0.0,0,5.0,,15874.7,6384f755b4cc19e1153f51bb,4.75,3.142857142857143
ultimatum_game,j89thiah,17,proposer,5,p2p5,1,5.0,1,5.0,1.0,7537.7,6384f755b4cc19e1153f51bb,4.75,3.142857142857143
ultimatum_game,j89thiah,18,proposer,5,p3p5,1,5.0,1,5.0,1.0,5877.3,6384f755b4cc19e1153f51bb,4.75,3.142857142857143
ultimatum_game,j89thiah,19,proposer,5,p1p5,0,5.0,1,5.0,1.0,8403.6,6384f755b4cc19e1153f51bb,4.75,3.142857142857143
ultimatum_game,j89thiah,20,proposer,5,p4p5,1,5.0,1,5.0,1.0,5199.5,6384f755b4cc19e1153f51bb,4.75,3.142857142857143
ultimatum_game,mut7p9qa,1,responder,6,p5p6,0,5.0,1,5.0,1.0,6895.4,5ad0ba03fb109b0001a3148e,4.625,3.142857142857143
ultimatum_game,mut7p9qa,2,responder,6,p4p6,1,0.0,0,,,,5ad0ba03fb109b0001a3148e,4.625,3.142857142857143
ultimatum_game,mut7p9qa,3,responder,6,p2p6,0,3.0,1,3.0,1.0,4879.6,5ad0ba03fb109b0001a3148e,4.625,3.142857142857143
ultimatum_game,mut7p9qa,4,responder,6,p3p6,1,5.0,1,5.0,1.0,5035.9,5ad0ba03fb109b0001a3148e,4.625,3.142857142857143
ultimatum_game,mut7p9qa,5,responder,6,p1p6,0,5.0,1,5.0,1.0,4438.6,5ad0ba03fb109b0001a3148e,4.625,3.142857142857143
ultimatum_game,mut7p9qa,6,proposer,6,p5p6,1,7.0,1,3.0,1.0,8730.5,5ad0ba03fb109b0001a3148e,4.625,3.142857142857143
ultimatum_game,mut7p9qa,7,proposer,6,p4p6,0,5.0,1,5.0,1.0,13474.9,5ad0ba03fb109b0001a3148e,4.625,3.142857142857143
ultimatum_game,mut7p9qa,8,proposer,6,p2p6,1,5.0,1,5.0,1.0,11580.4,5ad0ba03fb109b0001a3148e,4.625,3.142857142857143
ultimatum_game,mut7p9qa,9,proposer,6,p3p6,1,5.0,1,5.0,1.0,3706.6,5ad0ba03fb109b0001a3148e,4.625,3.142857142857143
ultimatum_game,mut7p9qa,10,proposer,6,p1p6,1,5.0,1,5.0,1.0,3366.0,5ad0ba03fb109b0001a3148e,4.625,3.142857142857143
ultimatum_game,mut7p9qa,11,responder,6,p5p6,1,5.0,1,5.0,1.0,6591.5,5ad0ba03fb109b0001a3148e,4.625,3.142857142857143
ultimatum_game,mut7p9qa,12,responder,6,p4p6,1,4.0,1,4.0,1.0,5414.5,5ad0ba03fb109b0001a3148e,4.625,3.142857142857143
ultimatum_game,mut7p9qa,13,responder,6,p2p6,1,4.0,1,4.0,1.0,7359.3,5ad0ba03fb109b0001a3148e,4.625,3.142857142857143
ultimatum_game,mut7p9qa,14,responder,6,p3p6,0,4.0,1,4.0,1.0,9980.0,5ad0ba03fb109b0001a3148e,4.625,3.142857142857143
ultimatum_game,mut7p9qa,15,responder,6,p1p6,1,5.0,1,5.0,1.0,5449.7,5ad0ba03fb109b0001a3148e,4.625,3.142857142857143
ultimatum_game,mut7p9qa,16,proposer,6,p5p6,0,0.0,1,5.0,,3014.6,5ad0ba03fb109b0001a3148e,4.625,3.142857142857143
ultimatum_game,mut7p9qa,17,proposer,6,p4p6,0,4.0,1,6.0,1.0,6000.7,5ad0ba03fb109b0001a3148e,4.625,3.142857142857143
ultimatum_game,mut7p9qa,18,proposer,6,p2p6,0,5.0,1,5.0,1.0,3013.9,5ad0ba03fb109b0001a3148e,4.625,3.142857142857143
ultimatum_game,mut7p9qa,19,proposer,6,p3p6,0,5.0,1,5.0,1.0,3728.6,5ad0ba03fb109b0001a3148e,4.625,3.142857142857143
ultimatum_game,mut7p9qa,20,proposer,6,p1p6,0,5.0,1,5.0,1.0,3528.7,5ad0ba03fb109b0001a3148e,4.625,3.142857142857143
